time_s,Tc_K
3.377696764,1894.428906359
3.378435285,1894.321446074
3.379736623,1894.226362320
3.384878266,1894.220119579
3.388240757,1894.430701288
3.390898147,1894.368588718
3.396854984,1894.634084742
3.398641773,1894.556331956
3.451423043,1895.796055950
3.452270182,1895.720303551
3.453918354,1895.661577824
3.474070565,1896.018250398
3.482823968,1896.392005617
3.484309753,1896.283548295
3.493618441,1896.346365956
3.497035878,1896.610414662
3.499652751,1896.516542242
3.505895031,1896.817420432
3.507649807,1896.723802489
3.570616860,1898.013986035
3.571764356,1898.022809660
3.574863734,1898.068428519
3.580236195,1898.193367424
3.582245297,1898.223011504
3.613373202,1898.838143491
3.614220906,1898.863540770
3.615804898,1898.901103889
3.626052245,1899.097005200
3.629920928,1899.190791535
3.632480826,1899.234640503
3.640536508,1899.396138484
3.642180083,1899.433883460
3.655112204,1899.676295477
3.659606735,1899.805007255
3.661873542,1899.826619505
3.674301712,1900.092860011
3.675647125,1900.115014086
3.680490270,1900.198999730
3.684350169,1900.290135627
3.686940414,1900.339017065
3.694993606,1900.491813719
3.696650288,1900.538186688
3.709598067,1900.780364732
3.714158045,1900.914427749
3.716416381,1900.935243439
3.729610992,1901.212409125
3.730927533,1901.239397938
3.735347449,1901.318473827
3.739440042,1901.407918106
3.741931996,1901.461939499
3.751301973,1901.625598897
3.752858238,1901.682880691
3.761242977,1901.850234228
3.764995866,1901.926599161
3.767701159,1901.991450336
3.775306680,1902.113439330
3.777034102,1902.180436026
3.793311808,1902.479778639
3.799447796,1902.703953367
3.801316867,1902.678796595
3.870759226,1903.962816225
3.871641524,1904.063376193
3.873278334,1904.169944448
3.883032584,1904.381216990
3.887095560,1904.439062200
3.889685078,1904.525788866
3.898995601,1904.634906860
3.900596160,1904.736505467
3.909179517,1904.927669740
3.913109637,1904.976870310
3.915792501,1905.071663440
3.924370967,1905.158951968
3.926043208,1905.269044234
3.936726948,1905.491280089
3.941000244,1905.570375054
3.943488371,1905.643690040
3.954313269,1905.791040372
3.955808013,1905.885552956
3.962024094,1906.037716526
3.965946831,1906.072634274
3.968670940,1906.181733890
3.977250598,1906.246431489
3.978940220,1906.375312621
3.989661306,1906.603416622
3.994008674,1906.675866744
3.996488515,1906.757552642
4.007970403,1906.898627338
4.009436539,1907.007054325
4.015045755,1907.160311215
4.019121741,1907.177730750
4.021795557,1907.304028858
4.031294280,1907.350518381
4.032923017,1907.504818698
4.041204758,1907.716041815
4.045274390,1907.725405961
4.047970233,1907.859634467
4.057454079,1907.892575467
4.059092787,1908.057615197
4.067422483,1908.273618885
4.071528812,1908.277521854
4.074219819,1908.417506038
4.083958902,1908.442959403
4.085584664,1908.617112204
4.093438989,1908.832583285
4.097546307,1908.822239434
4.100261381,1908.975217513
4.110028658,1908.979025363
4.111663932,1909.170277089
4.119499834,1909.393223447
4.123647137,1909.370558609
4.126362386,1909.535138488
4.136417485,1909.521021824
4.138041549,1909.729221678
4.145431556,1909.956804931
4.149608357,1909.912934964
4.152338773,1910.096600137
4.162619289,1910.050440424
4.164242165,1910.285289020
4.171347792,1910.523522632
4.175579618,1910.454113393
4.178315617,1910.660742753
4.189016175,1910.574315289
4.190627381,1910.843657785
4.197248366,1911.095614817
4.201568420,1910.990396073
4.204303080,1911.229324187
4.215721827,1911.082234006
4.217309817,1911.403366259
4.223258525,1911.678632842
4.227764272,1911.517749643
4.230469779,1911.807423473
4.243640536,1911.549118537
4.245164663,1911.965532316
4.249978242,1912.291152527
4.255122770,1912.017800715
4.257674566,1912.413487552
4.282306848,1911.728691966
4.283502679,1912.465165896
4.285840754,1913.033420200
