time_s,pc_Pa
1.379517527,2666092.865561721
1.381438488,2669631.873171164
1.383696794,2666283.216964811
1.386149442,2669845.332553532
1.387907439,2666474.628990459
1.391305961,2670078.928826941
1.392721269,2666693.735126635
1.398795856,2670419.338229270
1.399898956,2667021.530566228
1.434822325,2665177.178605692
1.450031807,2662598.981427303
1.452511629,2665878.244407779
1.454418971,2662707.907021808
1.457776043,2666158.695948320
1.459270528,2662884.427907968
1.465010115,2666534.720426809
1.466163833,2663184.042315999
1.510513730,2664184.471177700
1.511619567,2660715.688771047
1.539585469,2658093.000307295
1.543333653,2661677.994127277
1.544878218,2657405.287949325
1.548087295,2661218.101176329
1.549547962,2657717.429119641
1.555251497,2661419.604863271
1.556419603,2658043.103372460
1.608750880,2658835.809000473
1.609747155,2655649.638858190
1.615119982,2652740.276772890
1.617092269,2655964.074162696
1.619758676,2652844.989113940
1.622264088,2656212.335114670
1.624220698,2652998.385335347
1.627682288,2656474.740706360
1.629211923,2653201.749584183
1.635398552,2656841.430873354
1.636566939,2653525.842526405
1.671173386,2651754.444182076
1.683480786,2648663.605139446
1.685506810,2652466.685898548
1.687661271,2649049.897103937
1.690467114,2652626.098058136
1.692181720,2649294.727208491
1.696483267,2652854.234156064
1.697849422,2649555.144916156
1.709736956,2653406.954799521
1.710675356,2650116.104131793
1.714738567,2646970.795138931
1.716768646,2650383.802058844
1.719255439,2647163.315200096
1.721910226,2650610.082572344
1.723785095,2647359.098715905
1.727624329,2650861.987886385
1.729097081,2647590.954346687
1.737147881,2651284.066104757
1.738232879,2647994.087353680
1.747303639,2645063.188535545
1.749322977,2648484.151213021
1.751860471,2645263.284245339
1.754504058,2648710.985379131
1.756406274,2645462.310154780
1.760223606,2648961.614856842
1.761714412,2645695.299484216
1.769632610,2649375.747142255
1.770732266,2646093.141563266
1.780333242,2643190.756685333
1.782404750,2646608.965247298
1.784894140,2643391.885176614
1.787625056,2646836.802544800
1.789498685,2643593.895325865
1.793517236,2647094.008964917
1.794982402,2643834.510072012
1.804132791,2647559.971150477
1.805184756,2644284.195959911
1.811836051,2641258.311685635
1.813808617,2644663.332929899
1.816519284,2641464.433427153
1.819098077,2644893.853176585
1.821089239,2641664.650022736
1.824768411,2645140.538744866
1.826319161,2641893.571756532
1.833500267,2645521.871615521
1.834657095,2642259.615211304
1.848543243,2639560.182037077
1.851067004,2642984.823228592
1.853118790,2639763.097601766
1.856687638,2643227.482846370
1.858279822,2639989.582202881
1.864956578,2643585.744558108
1.866154217,2640334.401270844
1.886575396,2637926.708487448
1.890578936,2641424.417496742
1.892079638,2638176.181059944
1.901156984,2641867.849374715
1.902234261,2638620.975306883
1.909118118,2635628.301922375
1.911152286,2639009.646395622
1.913865288,2635837.692494408
1.916553572,2639242.157775370
1.918541664,2636041.415796093
1.922468452,2639496.551946215
1.924007090,2636278.695525840
1.932496344,2639929.847822363
1.933608679,2636696.366442556
1.941768974,2633772.068457489
1.943865953,2637142.321434182
1.946507923,2633978.676295549
1.949299587,2637375.730773563
1.951248191,2634183.917816977
1.955417225,2637638.325705202
1.956921915,2634429.306056631
1.967085564,2638140.874987411
1.968134590,2634915.583037620
1.973655317,2631886.938038083
1.975741825,2635243.802136965
1.978445692,2632093.988571554
1.981224003,2635478.582417426
1.983203345,2632298.868527996
1.987341111,2635740.531169761
1.988865358,2632542.632784779
1.998757641,2636231.559622519
1.999824240,2633016.459347880
2.005670070,2630010.309124185
2.007768716,2633358.146075893
2.010490461,2630218.509609476
2.013293018,2633593.939842722
2.015279860,2630424.177265244
2.019477583,2633857.763719683
2.021003774,2630669.898166345
